length_context,length_question,length_entities,entity_num,correct
994,10,20,1,1
577,9,13,6,1
932,7,54,21,0
655,8,32,3,1
828,13,30,0,1
380,13,17,10,0
352,9,14,0,1
349,15,20,6,0
903,19,37,13,0
292,12,26,33,0
293,18,18,4,1
1446,15,46,9,1
967,17,23,10,0
1006,24,38,15,0
126,9,6,4,1
432,15,14,70,0
279,10,28,0,0
1073,16,33,64,0
540,23,19,33,0
506,20,15,5,1
575,13,40,1,0
1196,14,35,21,0
507,15,24,0,1
538,11,37,4,1
1740,15,46,6,1
1775,19,57,32,0
755,9,20,4,1
352,13,18,4,1
445,14,23,1,1
484,10,14,33,0
349,15,20,1,1
570,16,16,2,1
896,13,22,2,0
578,12,16,9,0
1635,7,80,29,0
655,20,25,37,0
778,9,34,49,0
320,16,17,0,1
494,12,12,0,1
357,11,18,10,0
1371,17,56,53,0
1084,17,24,27,0
1123,19,92,96,0
799,17,28,2,1
1189,11,24,32,0
1823,17,69,57,0
1261,19,20,41,0
550,16,18,11,1
336,6,13,4,1
804,11,21,4,1
1135,15,26,3,1
311,14,31,2,1
353,15,12,64,0
376,8,13,1,1
553,13,40,8,0
531,18,17,5,1
404,10,12,2,1
1015,11,33,83,0
932,10,54,60,0
314,24,12,18,0
89,6,8,6,0
1112,21,25,2,1
461,11,23,3,1
413,21,22,6,1
408,7,12,8,1
909,7,26,17,0
885,14,9,3,0
923,11,31,2,1
660,11,17,0,1
255,17,12,3,1
379,15,18,4,1
1103,14,37,118,0
394,8,25,75,0
485,9,12,4,0
299,18,11,8,1
881,18,36,4,0
1098,23,22,54,0
392,15,11,2,0
1394,16,30,1,0
972,11,20,1,1
402,11,29,8,0
823,18,22,37,0
1106,12,56,3,1
483,15,22,61,0
474,26,15,15,0
368,11,15,3,1
139,18,11,3,1
305,11,10,0,1
412,7,15,3,1
368,12,13,22,0
324,16,13,1,0
196,9,9,13,1
1006,24,38,55,0
499,12,31,2,0
1989,19,53,0,0
460,16,13,5,1
159,6,13,2,1
417,14,28,9,0
415,18,11,0,1
1021,25,23,112,0
202,11,9,16,1
425,18,13,13,1
423,11,16,5,1
760,8,26,22,1
865,16,9,0,1
174,8,10,1,1
560,6,16,13,0
583,13,19,11,0
951,23,28,2,1
776,7,31,8,0
1114,9,24,0,1
1536,10,41,4,1
783,15,31,60,0
151,11,13,6,0
305,11,10,3,1
726,16,18,3,1
1624,18,50,2,0
1212,18,54,3,1
708,13,33,5,1
400,11,25,46,0
145,12,5,1,1
1291,24,44,217,0
433,10,14,6,1
636,8,20,11,0
868,14,27,62,0
530,14,7,5,0
438,14,10,12,0
709,12,19,47,0
906,16,22,5,1
953,13,33,4,1
1042,22,35,14,1
398,7,19,9,0
213,17,17,1,0
432,16,17,0,1
761,20,23,9,0
531,8,27,1,1
798,21,16,1,1
323,17,19,27,0
703,9,26,9,0
377,12,13,14,1
858,22,25,0,1
622,15,22,3,1
1171,10,34,23,1
612,11,20,1,1
1373,13,22,4,1
896,13,23,14,1
608,14,15,3,1
1560,14,55,169,0
805,7,54,73,0
972,11,20,183,0
463,18,32,11,1
